# Quacks of Quedlinburg Extended Board (53 spaces)
# Format: Droplet Position | Money | Ruby (1/0) | Victory Points

 1  | 1  | 0 | 0
 2  | 2  | 0 | 0
 3  | 3  | 0 | 0
 4  | 4  | 0 | 0
 5  | 5  | 1 | 0
 6  | 6  | 0 | 1
 7  | 7  | 0 | 1
 8  | 8  | 0 | 1
 9  | 9  | 1 | 1
10  | 10 | 0 | 1
11  | 11 | 0 | 2
12  | 12 | 0 | 2
13  | 13 | 1 | 2
14  | 14 | 0 | 3
15  | 15 | 0 | 3
16  | 15 | 1 | 3
17  | 16 | 0 | 3
18  | 16 | 0 | 4
19  | 17 | 0 | 4
20  | 17 | 1 | 4
21  | 18 | 0 | 4
22  | 18 | 0 | 5
23  | 19 | 0 | 5
24  | 19 | 1 | 5
25  | 20 | 0 | 5
26  | 20 | 0 | 6
27  | 21 | 0 | 6
28  | 21 | 1 | 6
29  | 22 | 0 | 7
30  | 22 | 1 | 7
31  | 23 | 0 | 7
32  | 23 | 0 | 8
33  | 24 | 0 | 8
34  | 24 | 1 | 8
35  | 25 | 0 | 9
36  | 25 | 1 | 9
37  | 26 | 0 | 9
38  | 26 | 0 | 10
39  | 27 | 0 | 10
40  | 27 | 1 | 10
41  | 28 | 0 | 11
42  | 28 | 1 | 11
43  | 29 | 0 | 11
44  | 29 | 0 | 12
45  | 30 | 0 | 12
46  | 30 | 1 | 12
47  | 31 | 0 | 12
48  | 31 | 0 | 13
49  | 32 | 0 | 13
50  | 32 | 1 | 13
51  | 33 | 0 | 14
52  | 33 | 1 | 14
53  | 35 | 0 | 19
